COD_2010,COD_2022
"020040603","020280603"
"020040604","020280604"
"020040605","020280605"
"020040606","020280606"
"020040607","020280607"
"020040608","020280608"
"020040609","020280609"
"020040610","020280610"
"020040611","020280611"
"020040701","020280701"
"020040702","020280702"
"020040703","020280703"
"020040704","020280704"
"020040705","020280705"
"020040706","020280706"
"020040707","020280707"
"020040708","020280708"
"020040709","020280709"
"020040710","020280710"
"020040711","020280711"
"020040712","020280712"
"020040801","020280801"
"020040802","020280802"
"020040803","020280803"
"020040804","020280804"
"020040805","020280805"
"020040806","020280806"
"020040807","020280812"
"020040807","020280807"
"020040808","020280808"
"020040809","020280809"
"020040810","020280810"
"020040811","020280811"
"020040901","020280901"
"020040902","020280902"
"020040903","020280903"
"020040904","020280904"
"020040905","020280905"
"020040906","020280906"
"020040907","020280907"
"020041001","020282703"
"020041001","020282704"
"020041001","020282705"
"020041001","020282706"
"020041001","020281001"
"020041001","020282701"
"020041001","020282702"
"020041001","020282707"
"020041002","020281002"
"020041002","020281006"
"020041003","020281007"
"020041003","020281003"
"020041004","020281008"
"020041004","020281004"
"020041005","020281009"
"020041005","020281005"
"020041006","020282801"
"020041006","020282802"
"020041007","020282804"
"020041007","020282803"
"020041008","020282805"
"020041008","020282806"
"020041008","020282807"
"020041008","020282808"
"020041009","020282811"
"020041009","020282809"
"020041009","020282810"
"020041101","020281101"
"020041102","020281102"
"020041103","020281103"
"020041104","020281104"
"020041105","020281105"
"020041106","020281106"
"020041107","020281107"
"020041108","020281108"
"020041109","020281109"
"020041201","020281201"
"020041202","020281202"
"020041203","020281203"
"020041204","020281204"
"020041205","020281205"
"020041206","020281206"
"020041207","020281207"
"020041208","020281208"
"020041209","020281209"
"020041210","020281210"
"020041211","020281211"
"020041212","020281212"
"020041301","020281301"
"020041302","020281302"
"020041303","020281303"
"020041304","020281304"
"020041305","020281305"
"020041306","020281306"
"020041307","020281307"
"020041308","020281308"
"020041309","020281309"
"020041310","020281310"
"020041311","020281311"
"020041401","020281401"
"020041402","020281402"
"020041403","020281403"
"020041404","020281404"
"020041405","020281405"
"020041406","020281406"
"020041407","020281407"
"020041408","020281408"
"020041409","020281409"
"020041501","020281501"
"020041502","020281502"
"020041503","020281503"
"020041504","020281504"
"020041505","020281505"
"020041506","020281506"
"020041507","020281507"
"020041508","020281508"
"020041509","020281509"
"020041510","020281510"
"020041601","020281601"
"020041602","020281602"
"020041603","020281603"
"020041604","020281604"
"020041605","020281605"
"020041606","020281606"
"020041607","020281607"
"020041608","020281608"
"020041609","020281609"
"020041610","020281610"
"020041701","020281701"
"020041702","020281702"
"020041703","020281703"
"020041704","020281704"
"020041705","020281705"
"020041706","020281706"
"020041707","020281707"
"020041708","020281708"
"020041709","020281709"
"020041710","020281710"
"020041801","020281801"
"020041901","020281901"
"020041902","020281902"
"020041903","020281903"
"020041904","020281904"
"020041905","020281905"
"020041906","020281906"
"020041907","020281907"
"020041908","020281908"
"020041908","020281911"
"020041909","020281909"
"020041910","020281910"
"020042001","020282001"
"020042002","020282002"
"020042003","020282003"
"020042004","020282004"
"020042005","020282005"
"020042006","020282006"
"020042007","020282007"
"020042008","020282008"
"020042009","020282009"
"020042010","020282010"
"020042011","020282011"
"020042012","020282012"
"020042101","020282101"
"020042101","020282113"
"020042102","020282102"
"020042103","020282103"
"020042104","020282104"
"020042105","020282105"
"020042106","020282106"
"020042107","020282107"
"020042108","020282108"
"020042109","020282109"
"020042110","020282110"
"020042111","020282111"
"020042112","020282112"
"020042201","020282201"
"020042202","020282202"
"020042203","020282203"
"020042204","020282204"
"020042205","020282205"
"020042206","020282206"
"020042207","020282207"
"020042208","020282208"
"020042209","020282209"
"020042210","020282210"
"020042211","020282211"
"020042212","020282212"
"020042301","020282301"
"020042302","020282302"
"020042303","020282303"
"020042304","020282304"
"020042305","020282305"
"020042306","020282306"
"020042307","020282307"
"020042308","020282308"
"020042309","020282309"
"020042310","020282310"
"020042311","020282311"
"020042312","020282312"
"020042401","020282406"
"020042401","020282401"
"020042402","020282405"
"020042402","020282402"
"020042402","020282403"
"020042402","020282404"
"020042403","020282407"
"020042403","020282409"
"020042403","020282408"
"020042404","020282904"
"020042404","020282905"
"020042404","020282903"
"020042404","020282906"
"020042405","020282901"
"020042405","020282902"
"020042406","020282907"
"020042406","020282908"
"020042501","020282505"
"020042501","020282506"
"020042501","020282507"
"020042501","020282501"
"020042502","020282508"
"020042502","020282502"
"020042503","020282503"
"020042503","020282511"
"020042503","020282512"
"020042504","020282509"
"020042504","020282510"
"020042504","020282504"
"020042601","020282601"
"020042602","020282602"
"020042603","020282603"
"020050101","020350101"
"020050102","020350102"
"020050103","020350103"
"020050104","020350111"
"020050104","020350104"
"020050105","020350112"
"020050105","020350105"
"020050106","020350106"
"020050107","020350107"
"020050108","020350108"
"020050109","020350109"
"020050110","020350110"
"020050201","020350201"
"020050202","020350202"
"020050203","020350203"
"020050204","020350204"
"020050205","020350205"
"020050206","020350206"
"020050207","020350207"
"020050208","020350208"
"020050209","020350209"
"020050210","020350210"
"020050211","020350211"
"020050301","020350301"
"020050302","020350302"
"020050302","020350312"
"020050302","020350313"
"020050303","020350303"
"020050304","020350304"
"020050305","020350305"
"020050306","020350306"
"020050307","020350307"
"020050308","020350308"
"020050309","020350309"
"020050310","020350310"
"020050311","020350311"
"020050401","020350401"
"020050402","020350402"
"020050403","020350403"
"020050404","020350404"
"020050405","020350405"
"020050406","020350406"
"020050407","020350407"
"020050408","020350408"
"020050409","020350409"
"020050501","020350501"
"020050502","020350502"
"020050503","020350503"
"020050504","020350504"
"020050505","020350505"
"020050506","020350506"
"020050507","020350507"
"020050508","020350508"
"020050601","020350601"
"020050602","020350602"
"020050603","020350603"
"020050604","020350604"
"020050605","020350605"
"020050606","020350606"
"020050607","020350607"
"020050608","020350608"
"020050701","020350701"
"020050702","020350702"
"020050703","020350703"
"020050704","020350704"
"020050705","020350705"
"020050706","020350706"
"020050707","020350707"
"020050708","020350708"
"020050801","020350801"
"020050802","020350802"
"020050803","020350803"
"020050804","020350804"
"020050805","020350805"
"020050806","020350806"
"020050807","020350807"
"020050808","020350808"
"020050809","020350809"
"020050901","020350901"
"020050902","020350902"
"020050903","020350903"
"020050904","020350904"
"020050905","020350905"
"020050906","020350906"
"020050907","020350907"
"020050908","020350908"
"020050909","020350909"
"020050910","020350910"
"020051001","020351001"
"020051002","020351002"
"020051003","020351003"
"020051004","020351004"
"020051005","020351005"
"020051006","020351006"
"020051007","020351007"
"020051008","020351008"
"020051009","020351009"
"020051010","020351010"
"020051101","020351111"
"020051101","020351101"
"020051102","020351102"
"020051103","020351103"
"020051104","020351104"
"020051105","020351105"
"020051106","020351106"
"020051107","020351107"
"020051108","020351108"
"020051109","020351109"
"020051110","020351110"
"020051201","020351201"
"020051202","020351202"
"020051203","020351203"
"020051204","020351204"
"020051205","020351205"
"020051206","020351206"
"020051207","020351207"
"020051301","020351301"
"020051302","020351302"
"020051303","020351303"
"020051304","020351304"
"020051305","020351305"
"020051306","020351306"
"020051307","020351307"
"020051308","020351308"
"020051309","020351309"
"020051401","020351401"
"020051402","020351402"
"020051403","020351403"
"020051404","020351404"
"020051405","020351405"
"020051406","020351406"
"020051407","020351407"
"020051408","020351408"
"020051409","020351409"
"020051501","020351501"
"020051502","020351502"
"020051503","020351503"
"020051504","020351504"
"020051505","020351505"
"020051506","020351506"
"020051507","020351507"
"020051508","020351508"
"020051509","020351509"
"020051601","020351601"
"020051602","020351602"
"020051603","020351603"
"020051604","020351604"
"020051605","020351605"
"020051606","020351606"
"020051607","020351607"
"020051608","020351608"
"020051609","020351609"
"020051610","020351610"
"020051611","020351612"
"020051611","020351611"
"020051701","020351701"
"020051702","020351702"
"020051703","020351703"
"020051704","020351704"
"020051705","020351705"
"020051706","020351706"
"020051707","020351707"
"020051708","020351708"
"020051709","020351709"
"020051710","020351710"
"020051711","020351711"
"020051801","020351801"
"020051802","020351802"
"020051803","020351803"
"020051804","020351804"
"020051805","020351805"
"020051806","020351806"
"020051807","020351807"
"020051808","020351808"
"020051809","020351809"
"020051810","020351810"
"020051811","020351811"
"020051901","020351901"
"020051902","020351902"
"020051903","020351903"
"020051904","020351904"
"020051905","020351905"
"020051906","020351906"
"020051907","020351907"
"020051908","020351908"
"020051909","020351909"
"020051910","020351910"
"020051911","020351911"
"020052001","020352001"
"020052002","020352002"
"020052003","020352003"
"020052004","020352004"
"020052005","020352005"
"020052006","020352006"
"020052007","020352007"
"020052008","020352008"
"020052009","020352009"
"020052010","020352010"
"020052011","020352011"
"020052012","020352012"
"020052101","020352101"
"020052101","020352112"
"020052102","020352102"
"020052103","020352103"
"020052104","020352104"
"020052105","020352105"
"020052106","020352106"
"020052107","020352107"
"020052108","020352108"
"020052109","020352109"
"020052110","020352110"
"020052111","020352111"
"020052201","020352201"
"020052202","020352202"
"020052203","020352203"
"020052204","020352204"
"020112002","020772002"
"020112003","020772003"
"020112004","020772004"
"020112005","020772005"
"020112006","020772006"
"020112007","020772007"
"020112008","020772008"
"020112009","020772009"
"020112010","020772010"
"020112011","020772011"
"020112101","020772101"
"020112102","020772102"
"020112103","020772103"
"020112104","020772104"
"020112105","020772105"
"020112105","020772112"
"020112106","020772106"
"020112107","020772107"
"020112108","020772108"
"020112109","020772109"
"020112110","020772110"
"020112111","020772111"
"020112201","020772201"
"020112202","020772202"
"020122002","020842002"
"020122002","020842009"
"020122003","020842010"
"020122003","020842003"
"020122004","020842004"
"020122005","020842005"
"020122006","020842006"
"020122007","020842007"
"020122008","020842008"
"020122101","020842101"
"020122101","020842111"
"020122102","020842102"
"020122102","020842112"
"020122103","020842103"
"020122103","020842113"
"020122104","020842104"
"020122105","020842105"
"020122106","020842106"
"020122107","020842107"
"020122108","020842108"
"020122109","020842109"
"020122110","020842110"
"020122201","020842201"
"020122202","020842202"
"020122203","020842203"
"020122204","020842204"
"020122205","020842205"
